original_index,name,zone,rating,votes,cuisine,price_range,price_symbol,maps_url,lat,lon,geocode_query_used
1193,Schöne Perle,Taborstraße,4.9,2849 votes,austrian,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1326.+Sch%C3%B6ne+Perle%2C+Taborstra%C3%9Fe%2C+Vienna,48.2192624,16.3815518,"Taborstraße, Vienna, Austria"
1194,Pizzeria Kalabria,Ober St. Veit,4.4,316 votes,pizzeria,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1329.+Pizzeria+Kalabria%2C+Ober+St.+Veit%2C+Vienna,48.192234,16.2761736,"Ober St. Veit, Vienna, Austria"
1195,La Gusto Grill,Thaliastraße,4.4,76 votes,pizzeria,,,https://www.google.com/maps/search/?api=1&query=1330.+La+Gusto+Grill%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1196,Donna Rosa,Hietzing,4.4,669 votes,pizzeria,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1331.+Donna+Rosa%2C+Hietzing%2C+Vienna,48.1785409,16.2529858,"Hietzing, Vienna, Austria"
1197,KANT_INE VIER ZEHN,Hütteldorfer Straße,4.4,52 votes,restaurant,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1332.+KANT_INE+VIER+ZEHN%2C+H%C3%BCtteldorfer+Stra%C3%9Fe%2C+Vienna,48.2000932,16.311042,"Hütteldorfer Straße, Vienna, Austria"
1198,Asiam,Karlsplatz,4.4,790 votes,sushi,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1333.+Asiam%2C+Karlsplatz%2C+Vienna,48.2016089,16.369139,"Karlsplatz, Vienna, Austria"
1199,Little Korae,Zieglergasse,4.4,278 votes,restaurant,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1334.+Little+Korae%2C+Zieglergasse%2C+Vienna,48.197145,16.3462979,"Zieglergasse, Vienna, Austria"
1200,Jack the Ripperl 1070 Wien - Kaiserstraße,Thaliastraße,4.4,200 votes,restaurant,€30 - €50,€€€,https://www.google.com/maps/search/?api=1&query=1335.+Jack+the+Ripperl+1070+Wien+-+Kaiserstra%C3%9Fe%2C+Thaliastra%C3%9Fe%2C+Vienna,48.2078001,16.3380073,"Thaliastraße, Vienna, Austria"
1201,Shang Li,Johnstraße,5,665 votes,chinese,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1336.+Shang+Li%2C+Johnstra%C3%9Fe%2C+Vienna,48.1976259,16.3185114,"Shang Li, Johnstraße, Vienna, Austria"
1202,Domino's Pizza,Neubaugasse,4.4,679 votes,pizzeria,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1337.+Domino%27s+Pizza%2C+Neubaugasse%2C+Vienna,48.1993161,16.3526723,"Neubaugasse, Vienna, Austria"
1203,BOWLS & POTS by Miss Mae,Zieglergasse,4.4,62 votes,asian,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1338.+BOWLS+%26+POTS+by+Miss+Mae%2C+Zieglergasse%2C+Vienna,48.197145,16.3462979,"Zieglergasse, Vienna, Austria"
1204,China Restaurant Cola la,Vorgartenstraße,4.4,444 votes,chinese,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1339.+China+Restaurant+Cola+la%2C+Vorgartenstra%C3%9Fe%2C+Vienna,48.2236328,16.4010572,"Vorgartenstraße, Vienna, Austria"
1205,Restaurant Feine Küche e.U.,Längenfeldgasse,4.4,38 votes,austrian,€1 - €10,€,https://www.google.com/maps/search/?api=1&query=1340.+Restaurant+Feine+K%C3%BCche+e.U.%2C+L%C3%A4ngenfeldgasse%2C+Vienna,48.1849175,16.3350685,"Längenfeldgasse, Vienna, Austria"
1206,VAPIANO Wien Hauptbahnhof,Südtiroler Platz-Hauptbahnhof,4.6,2836 votes,pizzeria,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1341.+VAPIANO+Wien+Hauptbahnhof%2C+S%C3%BCdtiroler+Platz-Hauptbahnhof%2C+Vienna,48.187103,16.3734414,"Südtiroler Platz-Hauptbahnhof, Vienna, Austria"
1207,Piya Wohnzimmer,Ober St. Veit,4.5,127 votes,austrian,€10 - €20,€€,https://www.google.com/maps/search/?api=1&query=1342.+Piya+Wohnzimmer%2C+Ober+St.+Veit%2C+Vienna,48.192234,16.2761736,"Ober St. Veit, Vienna, Austria"
1208,Schutzhaus Lilli,Zippererstraße,4.4,404 votes,austrian,€10 - €20,€,https://www.google.com/maps/search/?api=1&query=1343.+Schutzhaus+Lilli%2C+Zippererstra%C3%9Fe%2C+Vienna,48.1804386,16.4120644,"Zippererstraße, Vienna, Austria"
1209,Gastwirtschaft Stopfer,Schottenring,5,578 votes,austrian,€20 - €30,€€,https://www.google.com/maps/search/?api=1&query=1344.+Gastwirtschaft+Stopfer%2C+Schottenring%2C+Vienna,48.2165452,16.3719681,"Schottenring, Vienna, Austria"
